"","trial","outcome_condition","rt","chose_risky","key_pressed","reward","color","session","total_earned","participant","condition","video","age","gender","risk_first_to_mind","total_risk","judged_percent","block","last_risk"
"39",0.383838383838384,-1,"354",FALSE,"right",0.5,"3","first_time",0.4875,"1",-1,"Restaurant",31,"F",1,0.43,0,4,1
"40",0.393939393939394,-1,"344",TRUE,"left",0,"4","first_time",0.4875,"1",-1,"Restaurant",31,"F",1,0.43,0,4,1
"41",0.404040404040404,-1,"286",FALSE,"right",0.5,"3","first_time",0.5,"1",-1,"Restaurant",31,"F",1,0.43,0,5,0
"42",0.414141414141414,-1,"793",FALSE,"right",0.5,"3","first_time",0.5125,"1",-1,"Restaurant",31,"F",1,0.43,0,5,0
"43",0.424242424242424,-1,"367",TRUE,"left",0,"4","first_time",0.5125,"1",-1,"Restaurant",31,"F",1,0.43,0,5,0
"44",0.434343434343434,-1,"272",FALSE,"right",0.5,"3","first_time",0.525,"1",-1,"Restaurant",31,"F",1,0.43,0,5,0
"45",0.444444444444444,-1,"593",FALSE,"right",0.5,"3","first_time",0.5375,"1",-1,"Restaurant",31,"F",1,0.43,0,5,0
"46",0.454545454545455,-1,"416",TRUE,"left",1,"4","first_time",0.5625,"1",-1,"Restaurant",31,"F",1,0.43,0,5,0
"47",0.464646464646465,-1,"374",FALSE,"right",0.5,"3","first_time",0.575,"1",-1,"Restaurant",31,"F",1,0.43,0,5,1
"48",0.474747474747475,-1,"307",FALSE,"right",0.5,"3","first_time",0.5875,"1",-1,"Restaurant",31,"F",1,0.43,0,5,1
"49",0.484848484848485,-1,"327",FALSE,"right",0.5,"3","first_time",0.6,"1",-1,"Restaurant",31,"F",1,0.43,0,5,1
"50",0.494949494949495,-1,"267",FALSE,"right",0.5,"3","first_time",0.6125,"1",-1,"Restaurant",31,"F",1,0.43,0,5,1
"51",0.505050505050505,-1,"336",TRUE,"left",0,"4","first_time",0.6125,"1",-1,"Restaurant",31,"F",1,0.43,0,6,1
"52",0.515151515151515,-1,"457",TRUE,"left",1,"4","first_time",0.6375,"1",-1,"Restaurant",31,"F",1,0.43,0,6,0
"53",0.525252525252525,-1,"334",FALSE,"right",0.5,"3","first_time",0.65,"1",-1,"Restaurant",31,"F",1,0.43,0,6,1
