1,3,2,3,1,3,1,1,2,3,2,1,3,1,1,2,3,3,1,5,1,NA
2,3,4,1,3,2,4,4,2,1,2,3,2,2,3,3,3,2,1,1,4,past_week
3,4,3,2,1,4,1,2,1,3,3,3,1,1,3,3,4,3,3,2,2,NA
4,3,1,4,1,3,1,2,1,4,1,1,4,1,1,3,4,4,3,2,2,NA
5,4,2,3,3,3,2,2,1,4,3,2,4,2,4,3,4,5,1,4,2,NA
6,3,1,1,1,3,1,1,1,1,1,1,4,1,2,1,3,4,1,2,1,NA
7,3,2,2,1,3,1,2,1,4,2,2,3,1,4,2,4,3,1,2,2,past_week
8,4,2,3,2,3,1,2,1,4,5,1,2,1,3,4,4,2,5,3,2,past_week
9,3,1,2,1,2,2,1,2,3,1,2,3,1,2,2,4,4,1,3,1,NA
10,2,2,2,1,2,1,2,1,2,2,2,3,1,1,2,2,2,2,2,2,NA
11,4,2,4,3,3,2,2,2,4,2,3,3,1,2,3,4,4,3,3,1,NA
12,5,3,4,3,5,1,1,2,4,3,1,1,1,3,1,5,5,1,5,1,NA
13,4,1,4,2,2,1,2,3,3,2,2,2,1,4,2,4,3,4,5,4,NA
14,4,1,3,1,3,1,3,1,4,3,3,5,1,3,1,3,4,2,3,1,NA
15,5,2,4,2,5,1,2,1,5,5,1,5,1,5,1,5,5,1,5,2,NA
16,2,1,1,2,3,4,1,3,1,2,4,2,3,1,2,1,3,1,2,2,NA
17,5,4,5,1,4,1,1,4,5,5,1,5,1,5,3,4,5,3,5,2,NA
18,4,1,2,1,3,1,1,1,4,3,1,3,1,2,2,3,4,1,2,1,NA
19,4,1,2,1,3,1,1,1,4,2,1,3,1,2,2,3,4,2,3,1,NA
20,5,1,2,1,3,1,1,1,4,4,1,4,1,3,1,4,4,1,4,1,NA
21,3,3,2,2,2,2,2,1,2,1,2,3,2,2,1,3,3,4,3,2,NA
22,2,5,2,5,2,3,3,2,2,1,3,4,3,2,4,3,3,3,4,2,past_week
23,4,1,3,1,5,1,1,1,4,5,1,3,1,3,1,4,5,1,3,1,NA
24,3,1,2,1,4,3,1,1,3,2,1,3,2,4,1,3,3,1,2,1,NA
25,4,1,4,1,4,1,1,2,5,3,1,2,1,4,1,4,4,1,5,1,NA
26,5,2,4,2,3,2,2,1,4,3,1,5,1,5,2,4,4,2,4,2,past_week
27,4,1,2,1,2,1,1,1,2,1,1,3,1,1,2,2,3,2,1,1,NA
28,3,3,3,2,2,1,1,1,3,3,2,4,1,4,3,4,4,3,3,1,NA
29,4,1,3,1,3,1,1,1,3,3,1,3,1,2,2,4,4,3,4,1,right_now
30,3,4,5,1,4,1,2,1,4,4,3,2,1,2,2,4,3,2,3,1,past_week
31,4,1,3,1,3,1,1,1,3,3,1,3,1,2,2,3,3,2,2,1,right_now
32,4,1,4,1,1,1,1,1,3,2,1,5,1,2,1,5,5,4,4,1,NA
33,3,1,2,1,2,1,1,1,1,1,2,4,1,1,1,3,3,1,4,1,NA
34,4,1,1,1,3,1,1,1,3,1,2,3,1,3,1,3,3,2,3,1,NA
35,4,1,4,1,2,1,1,1,3,1,1,4,1,1,2,3,4,1,5,1,NA
36,3,1,3,1,4,1,1,1,3,4,1,4,1,3,1,4,4,1,3,1,NA
37,3,2,3,1,1,1,1,1,3,2,1,3,1,3,2,4,3,2,2,1,NA
38,5,1,5,1,5,1,1,1,5,5,1,4,4,4,1,5,5,1,5,1,NA
39,4,1,3,2,5,1,1,1,4,3,2,4,1,4,1,5,4,1,4,1,NA
40,4,1,2,1,4,1,1,1,3,1,1,3,1,1,1,4,3,1,4,1,NA
41,4,1,1,1,2,1,1,1,3,2,1,4,1,2,2,2,4,1,3,1,NA
42,4,3,4,2,2,3,3,4,4,3,3,3,4,4,3,4,3,3,3,2,NA
43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,4,1,3,1,4,1,1,1,4,3,1,5,1,1,2,4,5,1,3,1,NA
45,4,1,3,1,4,1,2,1,4,3,2,3,1,2,2,4,3,1,4,2,NA
46,3,1,3,1,4,1,1,1,3,3,1,5,1,3,1,4,4,3,4,1,NA
47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
